origin_city_name,arr_delay,month,carrier_name,avg_daily_delay_for_month,sum_delay_for_month,monthly_passenger_carrier,monthly_passenger_airport
"Chicago, IL",36.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",41.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",9.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",-5.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",14.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",-13.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",-2.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",178.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",3.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",-16.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",53.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",45.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",8.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",26.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",10.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",58.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",18.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",3.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",15.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",13.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",-13.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",-2.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",3.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",104.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
"Chicago, IL",27.0,1,Southwest Airlines,0.6592082616179001,383.0,345355.0,158843.0
